_id/$oid,protocol,hpfeed_id/$oid,timestamp/$date,source_ip,source_port,destination_port,identifier,honeypot,destination_ip/0,snort/priority,snort/header,snort/classification,snort/signature,sensor,attachments/0/hashes/sha512,attachments/0/hashes/md5,attachments/0/description
66126a66616a1e7d9c623b4e,pcap,66126a64616a1e7d9c623b4d,2024-04-07T09:41:56.746Z,167.99.67.45,48743,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
66126c89616a1e7d9c623b50,pcap,66126c87616a1e7d9c623b4f,2024-04-07T09:51:03.083Z,167.94.146.30,13800,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
66126c9b616a1e7d9c623b52,pcap,66126c99616a1e7d9c623b51,2024-04-07T09:51:21.617Z,185.169.4.105,57595,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
66126cce616a1e7d9c623b54,TCP,66126cce616a1e7d9c623b53,2024-04-07T09:52:14.562Z,91.92.251.164,10000,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2400006:3941,30,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
66127014616a1e7d9c623b56,pcap,66127014616a1e7d9c623b55,2024-04-07T10:06:12.578Z,205.210.31.230,55029,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
661274ed616a1e7d9c623b58,TCP,661274ed616a1e7d9c623b57,2024-04-07T10:26:53.282Z,198.235.24.17,55855,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2402000:6966,30,ET DROP Dshield Block Listed Source group 1,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
661276bc616a1e7d9c623b5a,TCP,661276bc616a1e7d9c623b59,2024-04-07T10:34:36.130Z,198.235.24.180,55971,3389,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2402000:6966,30,ET DROP Dshield Block Listed Source group 1,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
66127b29616a1e7d9c623b5c,pcap,66127b26616a1e7d9c623b5b,2024-04-07T10:53:26.521Z,103.178.235.146,44946,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
661280b6616a1e7d9c623b5e,pcap,661280b6616a1e7d9c623b5d,2024-04-07T11:17:10.097Z,192.241.218.52,54363,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
66128552616a1e7d9c623b60,TCP,66128552616a1e7d9c623b5f,2024-04-07T11:36:50.658Z,51.159.103.10,61000,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2525032:969,30,ET 3CORESec Poor Reputation IP TCP group 17,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
661289f5616a1e7d9c623b62,TCP,661289f4616a1e7d9c623b61,2024-04-07T11:56:36.450Z,206.168.34.34,46536,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2402000:6966,30,ET DROP Dshield Block Listed Source group 1,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
66128db2616a1e7d9c623b64,TCP,66128daf616a1e7d9c623b63,2024-04-07T12:12:31.866Z,183.81.169.238,34035,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2525014:969,30,ET 3CORESec Poor Reputation IP TCP group 8,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
661290ea616a1e7d9c623b66,TCP,661290ea616a1e7d9c623b65,2024-04-07T12:26:18.210Z,193.163.125.249,52555,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2402000:6966,30,ET DROP Dshield Block Listed Source group 1,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
661295a7616a1e7d9c623b68,pcap,661295a7616a1e7d9c623b67,2024-04-07T12:46:31.765Z,27.71.27.192,44848,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
66129753616a1e7d9c623b6a,pcap,66129751616a1e7d9c623b69,2024-04-07T12:53:37.757Z,23.95.191.203,51035,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
661297de616a1e7d9c623b6c,pcap,661297dd616a1e7d9c623b6b,2024-04-07T12:55:57.477Z,185.169.4.105,51318,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
661299ab616a1e7d9c623b6e,pcap,661299a9616a1e7d9c623b6d,2024-04-07T13:03:37.660Z,14.225.27.33,51644,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
66129c77616a1e7d9c623b70,TCP,66129c77616a1e7d9c623b6f,2024-04-07T13:15:35.522Z,167.94.145.52,38490,3389,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2525012:969,30,ET 3CORESec Poor Reputation IP TCP group 7,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
66129d3e616a1e7d9c623b72,pcap,66129d3b616a1e7d9c623b71,2024-04-07T13:18:51.668Z,45.79.109.4,41683,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
66129def616a1e7d9c623b74,TCP,66129dee616a1e7d9c623b73,2024-04-07T13:21:50.418Z,45.79.109.4,45794,3389,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2403392:90990,30,ET CINS Active Threat Intelligence Poor Reputation IP TCP group 47,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
6612a0b3616a1e7d9c623b76,TCP,6612a0b1616a1e7d9c623b75,2024-04-07T13:33:37.936Z,112.164.4.24,17370,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2525002:969,30,ET 3CORESec Poor Reputation IP TCP group 2,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
6612a3f7616a1e7d9c623b78,pcap,6612a3f6616a1e7d9c623b77,2024-04-07T13:47:34.691Z,74.82.47.41,33602,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
6612a4f1616a1e7d9c623b7a,TCP,6612a4ef616a1e7d9c623b79,2024-04-07T13:51:43.449Z,65.49.1.115,46509,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2403454:90990,30,ET CINS Active Threat Intelligence Poor Reputation IP TCP group 78,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
6612a518616a1e7d9c623b7c,TCP,6612a518616a1e7d9c623b7b,2024-04-07T13:52:24.290Z,65.49.1.112,7095,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2403454:90990,30,ET CINS Active Threat Intelligence Poor Reputation IP TCP group 78,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
6612a890616a1e7d9c623b7e,TCP,6612a88e616a1e7d9c623b7d,2024-04-07T14:07:10.048Z,179.43.180.106,54376,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2525014:969,30,ET 3CORESec Poor Reputation IP TCP group 8,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
6612a896616a1e7d9c623b80,TCP,6612a893616a1e7d9c623b7f,2024-04-07T14:07:15.209Z,179.43.180.106,36368,22,41a46812-f4c4-11ee-8a18-716c3fa0a742,snort,10.138.0.6,2,1:2001219:19,4,ET SCAN Potential SSH Scan,41a46812-f4c4-11ee-8a18-716c3fa0a742,,,
6612a9e7616a1e7d9c623b82,pcap,6612a9e6616a1e7d9c623b81,2024-04-07T14:12:54.501Z,172.104.242.173,54599,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
6612aa66616a1e7d9c623b84,pcap,6612aa63616a1e7d9c623b83,2024-04-07T14:14:59.459Z,45.156.129.22,38149,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
6612aaf3616a1e7d9c623b86,pcap,6612aaf1616a1e7d9c623b85,2024-04-07T14:17:21.564Z,185.169.4.105,55909,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
6612acf6616a1e7d9c623b88,pcap,6612acf5616a1e7d9c623b87,2024-04-07T14:25:57.470Z,198.211.114.179,48734,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
6612adbc616a1e7d9c623b8a,pcap,6612adbc616a1e7d9c623b89,2024-04-07T14:29:16.012Z,38.132.109.110,56765,3389,9138a256-f4c1-11ee-8a18-716c3fa0a742,dionaea,,,,,,,,,
